indicator,date,rate
high,2022-08-26 15:31:00,28.625
low,2022-08-26 15:31:00,28.61
close,2022-08-26 15:31:00,28.615
open,2022-08-26 15:30:00,28.62
high,2022-08-26 15:30:00,28.62
low,2022-08-26 15:30:00,28.615
close,2022-08-26 15:30:00,28.615
open,2022-08-26 15:29:00,28.625
high,2022-08-26 15:29:00,28.625
low,2022-08-26 15:29:00,28.62
close,2022-08-26 15:29:00,28.62
open,2022-08-26 15:28:00,28.605
high,2022-08-26 15:28:00,28.62
low,2022-08-26 15:28:00,28.605
close,2022-08-26 15:28:00,28.62
open,2022-08-26 15:25:00,28.6
high,2022-08-26 15:25:00,28.6
low,2022-08-26 15:25:00,28.6
close,2022-08-26 15:25:00,28.6
open,2022-08-26 15:23:00,28.62
high,2022-08-26 15:23:00,28.62
low,2022-08-26 15:23:00,28.605
close,2022-08-26 15:23:00,28.605
open,2022-08-26 15:22:00,28.63
high,2022-08-26 15:22:00,28.63
low,2022-08-26 15:22:00,28.63
close,2022-08-26 15:22:00,28.63
open,2022-08-26 15:21:00,28.625
high,2022-08-26 15:21:00,28.64
low,2022-08-26 15:21:00,28.625
close,2022-08-26 15:21:00,28.64
open,2022-08-26 15:20:00,28.6325
high,2022-08-26 15:20:00,28.6325
low,2022-08-26 15:20:00,28.63
close,2022-08-26 15:20:00,28.63
open,2022-08-26 15:19:00,28.63
high,2022-08-26 15:19:00,28.63
low,2022-08-26 15:19:00,28.63
close,2022-08-26 15:19:00,28.63
open,2022-08-26 15:18:00,28.61
high,2022-08-26 15:18:00,28.615
low,2022-08-26 15:18:00,28.61
close,2022-08-26 15:18:00,28.615
open,2022-08-26 15:17:00,28.6
high,2022-08-26 15:17:00,28.6
low,2022-08-26 15:17:00,28.6
close,2022-08-26 15:17:00,28.6
open,2022-08-26 15:16:00,28.585
high,2022-08-26 15:16:00,28.61
low,2022-08-26 15:16:00,28.585
close,2022-08-26 15:16:00,28.6
open,2022-08-26 15:14:00,28.58
high,2022-08-26 15:14:00,28.585
low,2022-08-26 15:14:00,28.575
close,2022-08-26 15:14:00,28.58
open,2022-08-26 15:13:00,28.59
high,2022-08-26 15:13:00,28.59
low,2022-08-26 15:13:00,28.585
close,2022-08-26 15:13:00,28.59
open,2022-08-26 15:12:00,28.595
high,2022-08-26 15:12:00,28.595
low,2022-08-26 15:12:00,28.595
close,2022-08-26 15:12:00,28.595
open,2022-08-26 15:11:00,28.6
high,2022-08-26 15:11:00,28.6
low,2022-08-26 15:11:00,28.6
close,2022-08-26 15:11:00,28.6
open,2022-08-26 15:10:00,28.61
high,2022-08-26 15:10:00,28.61
low,2022-08-26 15:10:00,28.6
close,2022-08-26 15:10:00,28.6
open,2022-08-26 15:09:00,28.615
high,2022-08-26 15:09:00,28.615
low,2022-08-26 15:09:00,28.615
close,2022-08-26 15:09:00,28.615
open,2022-08-26 15:08:00,28.63
high,2022-08-26 15:08:00,28.635
low,2022-08-26 15:08:00,28.61
close,2022-08-26 15:08:00,28.61
open,2022-08-26 15:07:00,28.64
high,2022-08-26 15:07:00,28.64
low,2022-08-26 15:07:00,28.635
close,2022-08-26 15:07:00,28.635
