Symbol,Name,Country,Sector,Industry
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,United States,Finance,Business Services
ABIO,ARCA biopharma Inc. Common Stock,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Incorporated Common Stock,United States,Consumer Discretionary,Diversified Commercial Services
ABMD,ABIOMED Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,United States,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,United States,Real Estate,Real Estate Investment Trusts
ABSI,Absci Corporation Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ABT,Abbott Laboratories Common Stock,United States,Health Care,Medical/Dental Instruments
ABTX,Allegiance Bancshares Inc. Common Stock,United States,Finance,Major Banks
ABVC,ABVC BioPharma Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
ACABU,Atlantic Coastal Acquisition Corp. II Unit,United States,Industrials,Consumer Electronics/Appliances
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,United States,Industrials,Consumer Electronics/Appliances
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
ACACU,Acri Capital Acquisition Corporation Unit,United States,Industrials,Consumer Electronics/Appliances
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
ACAHU,Atlantic Coastal Acquisition Corp. Unit,United States,Industrials,Consumer Electronics/Appliances
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,United States,Industrials,Consumer Electronics/Appliances
ACAX,Alset Capital Acquisition Corp. Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
ACAXR,Alset Capital Acquisition Corp. Right,United States,Industrials,Consumer Electronics/Appliances
ACAXU,Alset Capital Acquisition Corp. Unit,United States,Industrials,Consumer Electronics/Appliances
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,Hong Kong,Finance,Business Services
ACBAW,Ace Global Business Acquisition Limited Warrant,Hong Kong,Consumer Discretionary,Catalog/Specialty Distribution
ACCD,Accolade Inc. Common Stock,United States,Technology,Interactive Media
ACCO,Acco Brands Corporation Common Stock,United States,Consumer Discretionary,Advertising
ACEL,"Accel Entertainment Inc. ",United States,Consumer Discretionary,Recreational Games/Products/Toys
ACER,Acer Therapeutics Inc. Common Stock (DE),United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACET,"Adicet Bio Inc. Common Stock ",United States,Health Care,Biotechnology: Pharmaceutical Preparations
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,United States,Technology,Semiconductors
ACEVW,ACE Convergence Acquisition Corp. Warrant,United States,Technology,Semiconductors
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Bermuda,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Bermuda,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,Health Care,Hospital/Nursing Management
ACHL,Achilles Therapeutics plc American Depositary Shares,United Kingdom,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviation Inc. Class A Common Stock,United States,Industrials,Aerospace
ACHV,Achieve Life Sciences Inc. Common Shares,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,United States,Consumer Staples,Food Chains
ACIU,AC Immune SA Common Stock,Switzerland,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,United States,Technology,EDP Services
ACLS,Axcelis Technologies Inc. Common Stock,United States,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ACM,AECOM Common Stock,United States,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,United States,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,Consumer Discretionary,Business Services
ACNB,ACNB Corporation Common Stock,United States,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,United States,Industrials,Steel/Iron Ore
ACON,Aclarion Inc. Common Stock,United States,Technology,Retail: Computer Software & Peripheral Equipment
ACONW,Aclarion Inc. Warrant,United States,Technology,Retail: Computer Software & Peripheral Equipment
ACOR,Acorda Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,abrdn Income Credit Strategies Fund Common Shares,United States,Finance,Investment Managers
ACQR,Independence Holdings Corp. Class A Ordinary Share,United States,Finance,Business Services
ACQRU,Independence Holdings Corp. Units,United States,Finance,Business Services
ACQRW,Independence Holdings Corp. Warrant,United States,Finance,Business Services
ACR,ACRES Commercial Realty Corp. Common Stock,United States,Real Estate,Real Estate Investment Trusts
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,Real Estate,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,United States,Health Care," Medicinal Chemicals and Botanical Products "
ACST,Acasti Pharma Inc. Class A Common Stock,Canada,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,Enact Holdings Inc. Common Stock,United States,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States,Miscellaneous,Multi-Sector Companies
ACU,Acme United Corporation. Common Stock,United States,Consumer Discretionary,Home Furnishings
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,United States,Industrials,Metal Fabrications
ACXP,Acurx Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,China,Health Care,Biotechnology: Pharmaceutical Preparations
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations
ADBE,Adobe Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,United States,Real Estate,Real Estate Investment Trusts
ADER,26 Capital Acquisition Corp. Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
ADERU,26 Capital Acquisition Corp. Unit,United States,Industrials,Consumer Electronics/Appliances
ADERW,26 Capital Acquisition Corp. Warrant,United States,Industrials,Consumer Electronics/Appliances
ADES,Advanced Emissions Solutions Inc. Common Stock,United States,Industrials,Industrial Specialties
ADGI,Adagio Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADI,Analog Devices Inc. Common Stock,United States,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADILW,Adial Pharmaceuticals Inc Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADMA,ADMA Biologics Inc Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADMP,Adamis Pharmaceuticals Corporation Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADN,Advent Technologies Holdings Inc. Class A Common Stock,United States,Utilities,Power Generation
ADNWW,Advent Technologies Holdings Inc. Warrant,United States,Utilities,Power Generation
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,United States,Finance,Business Services
ADOCW,Edoc Acquisition Corp. Warrant,United States,Finance,Business Services
ADP,Automatic Data Processing Inc. Common Stock,United States,Consumer Discretionary,Business Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADRA,Adara Acquisition Corp. Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
ADSK,Autodesk Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,United States,Consumer Discretionary,Diversified Commercial Services
ADTH,AdTheorent Holding Company Inc. Common Stock,United States,Consumer Discretionary,Advertising
ADTHW,AdTheorent Holding Company Inc. Warrants,United States,Consumer Discretionary,Advertising
ADTN,ADTRAN Holdings Inc. Common Stock,United States,Telecommunications,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,United States,Health Care," Medicinal Chemicals and Botanical Products "
ADUS,Addus HomeCare Corporation Common Stock,United States,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,United States,Consumer Discretionary,Advertising
ADVM,Adverum Biotechnologies Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ADX,Adams Diversified Equity Fund Inc.,United States,Finance,Investment Managers
ADXN,Addex Therapeutics Ltd American Depositary Shares,Switzerland,Health Care,Biotechnology: Pharmaceutical Preparations
AE,Adams Resources & Energy Inc. Common Stock,United States,Energy,Oilfield Services/Equipment
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,United States,Finance,Business Services
AEACU,Authentic Equity Acquisition Corp. Unit,United States,Finance,Business Services
AEACW,Authentic Equity Acquisition Corp. Warrant,United States,Finance,Business Services
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
AEE,Ameren Corporation Common Stock,United States,Utilities,Power Generation
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,United States,Finance,Finance/Investors Services
AEG,AEGON N.V. Common Stock,Netherlands,Finance,Life Insurance
AEHA,Aesther Healthcare Acquisition Corp Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
AEHAU,Aesther Healthcare Acquisition Corp Units,United States,Industrials,Consumer Electronics/Appliances
AEHAW,Aesther Healthcare Acquisition Corp Warrants,United States,Industrials,Consumer Electronics/Appliances
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),China,Consumer Discretionary,Building Products
AEHR,Aehr Test Systems Common Stock,United States,Industrials,Electrical Products
AEI,Alset EHome International Inc. Common Stock,United States,Real Estate,Building operators
AEIS,Advanced Energy Industries Inc. Common Stock,United States,Consumer Discretionary,Electrical Products
AEL,American Equity Investment Life Holding Company Common Stock,United States,Finance,Life Insurance
AEMD,Aethlon Medical Inc. Common Stock,United States,Miscellaneous,Diversified Commercial Services
AEO,American Eagle Outfitters Inc. Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEP,American Electric Power Company Inc. Common Stock,United States,Utilities,Electric Utilities: Central
AEPPZ,American Electric Power Company Inc. Corporate Units,United States,Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands,Consumer Discretionary,Diversified Commercial Services
AERC,AeroClean Technologies Inc. Common Stock,United States,Utilities,Environmental Services
AERI,Aerie Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AES,The AES Corporation Common Stock,United States,Utilities,Electric Utilities: Central
AESC,The AES Corporation Corporate Units,United States,Utilities,Electric Utilities: Central
AESE,Allied Esports Entertainment Inc. Common Stock,United States,Telecommunications,Cable & Other Pay Television Services
AEY,ADDvantage Technologies Group Inc. Common Stock,United States,Consumer Discretionary,Durable Goods
AEYE,AudioEye Inc. Common Stock,United States,Technology,EDP Services
AFAC,Arena Fortify Acquisition Corp. Class A Common Stock,United States,Miscellaneous,Other Pharmaceuticals
AFACW,Arena Fortify Acquisition Corp. Warrant,United States,Miscellaneous,Other Pharmaceuticals
AFAQ,AF Acquisition Corp. Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
AFAQW,AF Acquisition Corp. Warrants,United States,Industrials,Consumer Electronics/Appliances
AFB,AllianceBernstein National Municipal Income Fund Inc,United States,Finance,Trusts Except Educational Religious and Charitable
AFBI,Affinity Bancshares Inc. Common Stock (MD),United States,Finance,Major Banks
AFCG,AFC Gamma Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AFG,American Financial Group Inc. Common Stock,United States,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,United States,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,United States,Finance,Real Estate
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,United States,Finance,Property-Casualty Insurers
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,United States,Finance,Property-Casualty Insurers
AFIB,Acutus Medical Inc. Common Stock,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AFL,AFLAC Incorporated Common Stock,United States,Finance,Accident &Health Insurance
AFMD,Affimed N.V.,Germany,Health Care,Biotechnology: Pharmaceutical Preparations
AFRI,Forafric Global PLC Ordinary Shares,Gibraltar,Consumer Staples,Farming/Seeds/Milling
AFRIW,Forafric Global PLC Warrants,Gibraltar,Consumer Staples,Farming/Seeds/Milling
AFRM,Affirm Holdings Inc. Class A Common Stock,United States,Technology,EDP Services
AFYA,Afya Limited Class A Common Shares,Brazil,Real Estate,Other Consumer Services
AGBA,AGBA Acquisition Limited Ordinary Share,Hong Kong,Finance,Investment Managers
AGBAR,AGBA Acquisition Limited Right,Hong Kong,Finance,Investment Managers
AGBAW,AGBA Acquisition Limited Warrant,Hong Kong,Finance,Business Services
AGCO,AGCO Corporation Common Stock,United States,Industrials,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable
AGEN,Agenus Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFY,Agrify Corporation Common Stock,United States,Consumer Discretionary,Military/Government/Technical
AGGR,Agile Growth Corp. Class A Ordinary Share,United States,Finance,Business Services
AGGRU,Agile Growth Corp. Units,United States,Finance,Business Services
AGGRW,Agile Growth Corp. Warrant.,United States,Finance,Business Services
AGI,Alamos Gold Inc. Class A Common Shares,Canada,Basic Materials,Precious Metals
AGIL,AgileThought Inc. Class A Common Stock,United States,Technology,EDP Services
AGILW,AgileThought Inc. Warrant,United States,Technology,EDP Services
AGIO,Agios Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AGLE,Aeglea BioTherapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AGM,Federal Agricultural Mortgage Corporation Common Stock,United States,Finance,Finance Companies
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Hong Kong,Technology,EDP Services
AGNC,AGNC Investment Corp. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,United States,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,Real Estate,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd. Common Stock,Bermuda,Finance,Property-Casualty Insurers
AGR,Avangrid Inc. Common Stock,United States,Utilities,Electric Utilities: Central
AGRO,Adecoagro S.A. Common Shares,Luxembourg,Consumer Staples,Farming/Seeds/Milling
AGRX,Agile Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AGS,PlayAGS Inc. Common Stock,United States,Consumer Discretionary,Recreational Games/Products/Toys
AGTC,Applied Genetic Technologies Corporation Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGX,Argan Inc. Common Stock,United States,Industrials,Oilfield Services/Equipment
AGYS,Agilysys Inc. Common Stock (DE),United States,Technology,Computer Software: Prepackaged Software
AHCO,AdaptHealth Corp. Common Stock,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AHG,Akso Health Group ADS,China,Finance,Finance: Consumer Services
AHH,Armada Hoffler Properties Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AHPI,Allied Healthcare Products Inc. Common Stock,United States,Health Care,Industrial Specialties
AHT,Ashford Hospitality Trust Inc Common Stock,United States,Real Estate,Real Estate Investment Trusts
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,United States,Real Estate,Real Estate Investment Trusts
AIG,American International Group Inc. New Common Stock,United States,Finance,Life Insurance
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,China,Health Care,Medical Specialities
AIHS,Senmiao Technology Limited Common Stock,China,Finance,Finance: Consumer Services
AIKI,AIkido Pharma Inc. Common Stock,United States,Health Care," Medicinal Chemicals and Botanical Products "
AIM,AIM ImmunoTech Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMC,Altra Industrial Motion Corp. Common Stock,United States,Industrials,Industrial Machinery/Components
AIMD,Ainos Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AIN,Albany International Corporation Common Stock,United States,Consumer Discretionary,Textiles
AINC,Ashford Inc. (Holding Company) Common Stock,United States,Finance,Investment Managers
AIP,Arteris Inc. Common Stock,United States,Technology,Semiconductors
AIR,AAR Corp. Common Stock,United States,Industrials,Aerospace
AIRG,Airgain Inc. Common Stock,United States,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group Common Stock,United States,Industrials,Military/Government/Technical
AIRS,AirSculpt Technologies Inc. Common Stock,United States,Health Care,Hospital/Nursing Management
AIRT,Air T Inc. Common Stock,United States,Consumer Discretionary,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,United States,Consumer Discretionary,Air Freight/Delivery Services
AIT,Applied Industrial Technologies Inc. Common Stock,United States,Industrials,Industrial Machinery/Components
AIV,Apartment Investment and Management Company Common Stock,United States,Real Estate,Real Estate Investment Trusts
AIZ,Assurant Inc. Common Stock,United States,Finance,Specialty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States,Finance,Accident &Health Insurance
AJG,Arthur J. Gallagher & Co. Common Stock,United States,Finance,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,United States,Industrials,Military/Government/Technical
AJX,Great Ajax Corp. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,United States,Real Estate,Real Estate Investment Trusts
AKAM,Akamai Technologies Inc. Common Stock,United States,Consumer Discretionary,Business Services
AKBA,Akebia Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AKIC,Sports Ventures Acquisition Corp. Class A Ordinary Shares,United States,Finance,Business Services
AKICU,Sports Ventures Acquisition Corp. Unit,United States,Finance,Business Services
AKICW,Sports Ventures Acquisition Corp. Warrant,United States,Finance,Business Services
AKLI,Akili Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
AKR,Acadia Realty Trust Common Stock,United States,Real Estate,Real Estate Investment Trusts
AKRO,Akero Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AKTS,Akoustis Technologies Inc. Common Stock,United States,Utilities,Telecommunications Equipment
AKTX,Akari Therapeutics plc ADS,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations
AKUS,Akouos Inc. Common Stock,United States,Health Care," Medicinal Chemicals and Botanical Products "
AKYA,Akoya BioSciences Inc. Common Stock,United States,Industrials,Medical Specialities
AL,Air Lease Corporation Class A Common Stock,United States,Consumer Discretionary,Diversified Commercial Services
ALB,Albemarle Corporation Common Stock,United States,Industrials,Industrial Specialties
ALBO,Albireo Pharma Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALC,Alcon Inc. Ordinary Shares,Switzerland,Health Care,Ophthalmic Goods
ALDX,Aldeyra Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALE,Allete Inc.,United States,Utilities,Power Generation
ALEC,Alector Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,United States,Real Estate,Real Estate Investment Trusts
ALF,ALFI Inc. Common Stock,United States,Technology,EDP Services
ALFIW,ALFI Inc. Warrant,United States,Technology,EDP Services
ALG,Alamo Group Inc. Common Stock,United States,Industrials,Industrial Machinery/Components
ALGM,Allegro MicroSystems Inc. Common Stock,United States,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,United States,Health Care,Industrial Specialties
ALGS,Aligos Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALGT,Allegiant Travel Company Common Stock,United States,Consumer Discretionary,Air Freight/Delivery Services
ALHC,Alignment Healthcare Inc. Common Stock,United States,Health Care,Medical Specialities
ALIM,Alimera Sciences Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALJJ,ALJ Regional Holdings Inc. Common Stock,United States,Consumer Discretionary,Business Services
ALK,Alaska Air Group Inc. Common Stock,United States,Consumer Discretionary,Air Freight/Delivery Services
ALKS,Alkermes plc Ordinary Shares,Ireland,Health Care,Biotechnology: Pharmaceutical Preparations
ALKT,Alkami Technology Inc. Common Stock,United States,Technology,EDP Services
ALL,Allstate Corporation (The) Common Stock,United States,Finance,Property-Casualty Insurers
ALLE,Allegion plc Ordinary Shares,United States,Consumer Discretionary,Diversified Commercial Services
ALLK,Allakos Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALLO,Allogene Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLR,Allarity Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALLT,Allot Ltd. Ordinary Shares,Israel,Telecommunications,Telecommunications Equipment
ALLY,Ally Financial Inc. Common Stock,United States,Finance,Diversified Financial Services
ALNA,Allena Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALOT,AstroNova Inc. Common Stock,United States,Technology,Computer peripheral equipment
ALPA,Alpha Healthcare Acquisition Corp. III Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
ALPAU,Alpha Healthcare Acquisition Corp. III Units,United States,Industrials,Consumer Electronics/Appliances
ALPN,Alpine Immune Sciences Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALPP,Alpine 4 Holdings Inc. Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
ALR,AlerisLife Inc. Common Stock,United States,Health Care,Hospital/Nursing Management
ALRM,Alarm.com Holdings Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
ALRN,Aileron Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALRS,Alerus Financial Corporation Common Stock,United States,Finance,Commercial Banks
ALSN,Allison Transmission Holdings Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.
ALT,Altimmune Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALTO,Alto Ingredients Inc. Common Stock,United States,Industrials,Industrial Specialties
ALTR,Altair Engineering Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
ALTU,Altitude Acquisition Corp. Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
ALTUU,Altitude Acquisition Corp. Unit,United States,Industrials,Consumer Electronics/Appliances
ALTUW,Altitude Acquisition Corp. Warrant,United States,Industrials,Consumer Electronics/Appliances
ALV,Autoliv Inc. Common Stock,Sweden,Consumer Discretionary,Auto Parts:O.E.M.
ALVO,Alvotech Ordinary Shares,Luxembourg,Health Care,Biotechnology: Pharmaceutical Preparations
ALVOW,Alvotech Warrant,Luxembourg,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALVR,AlloVir Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALX,Alexander's Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
ALXO,ALX Oncology Holdings Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALZN,Alzamend Neuro Inc. Common Stock,United States,Health Care," Medicinal Chemicals and Botanical Products "
AM,Antero Midstream Corporation Common Stock,United States,Utilities,Natural Gas Distribution
AMAL,Amalgamated Financial Corp. Common Stock (DE),United States,Finance,Commercial Banks
AMAO,American Acquisition Opportunity Inc. Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
AMAOU,American Acquisition Opportunity Inc. Units,United States,Industrials,Consumer Electronics/Appliances
